"FimA_del" "WT" "FimA_over"
"ybbA" 160.429426016983 96.4319111068713 54.1577344219457
"ybbP" 71.5770210478758 38.3682006490835 16.5399822089732
"rhsD" 83.0118765910674 54.0559961385607 16.5808790992669
"ybbC" 19.1031227026273 27.4941557522648 10.5184941291783
"ylbH" 35.3668518476237 17.511960698264 8.25778561812805
"ybbD" 33.1373406983692 21.0162130045145 3.97733818435255
"ylbG" 262.208050916041 158.695851314204 61.5122766712079
"selU" 66.6968348902032 25.1401834388496 18.7585021384296
"allS" 84.9809884812818 44.0540963847862 8.81435389540337
"allA" 114.755329851496 57.7727431241653 20.5801199138377
"allR" 109.229145943512 91.3791810954005 97.144180919827
"gcl" 59.1773605543929 32.0236544373391 7.32593168466582
"hyi" 59.3718712083188 36.2641222117717 7.2165505340979
"glxR" 74.8131773163087 45.2489590533133 5.17681673510965
"ybbW" 59.1136349784282 37.9965956889588 2.80719026638527
"allB" 79.3626130331478 57.1192538371543 6.8156936760829
"ybbY" 96.8232064412872 66.1807616646745 7.46309308220562
"glxK" 89.3536686179615 62.284392231825 9.97700217134673
"allE" 91.9975997661625 60.9659726930366 23.8174670989911
"allC" 79.2084075430734 48.5561362070081 15.1050222368161
"allD" 70.0834824209121 35.1841610751314 3.55714826012399
"fdrA" 59.5504728382275 26.0870742104481 4.482772722309
"ylbE" 71.956241324393 36.9455520847004 5.361751954998
"ylbF" 96.8524621405601 37.6162842567474 9.35462482931668
"ybcF" 103.533444642061 45.1088425404943 9.05789013843301
"purK" 81.9012591913873 33.7888162201631 49.1963600429895
