Geneid	FimA_del	WT	FimA_over
eptB	980	1172	208
yhjX	788	380	119
yhjY	1207	1378	574
tag	563	452	370
yiaC	285	181	280
bisC	1094	620	445
yiaD	340	153	62
ghrB	556	313	201
yiaF	1012	1468	398
yiaG	3420	4333	373
cspA	1290	3077	5002
ysaE	12	7	0
mokA	4	3	0
hokA	0	0	0
insJ	112	60	21
insK	144	78	15
sokA	9	4	0
glyS	2913	4323	3084
glyQ	993	1780	708
ysaB	227	123	34
wecH	453	298	61
yiaA	115	52	26
yiaB	90	56	9
xylB	696	690	107
xylZ	16	13	1
xylA	890	672	117
xylF	585	359	33
xylG	631	443	139
xylH	722	438	49
xylR	463	314	138
bax	438	253	1349
baxL	3	4	2
malS	1157	577	169
avtA	921	817	1117
ysaA	195	107	157
plaR	445	252	171
yiaK	427	251	35
yiaL	95	67	12
yiaM	112	51	6
yiaN	569	226	31
yiaO	464	219	26
lyxK	1031	451	64
sgbH	258	128	28
sgbU	385	197	37
sgbE	300	188	29
ysaC	55	27	3
ysaD	85	34	12
yiaT	220	154	48
yiaU	554	593	191
yiaV	689	610	79
yiaW	253	380	8
aldB	18730	35865	60
yiaY	520	232	44
selB	1365	1272	535
selA	1132	1033	321
yibF	932	1974	102
rhsA	6961	4462	1218
yibA	674	1134	605
yibJ	999	859	385
yibG	163	138	68
yibS	113	59	23
yibW	118	89	16
yibV	73	75	4
yibU	154	115	26
yibH	1474	1124	117
yibI	546	371	64
mtlA	4180	5242	382
mtlD	3845	3847	948
mtlR	2009	2127	577
yibT	36111	30103	575
yibL	1114	890	275
lldP	10987	9830	245
lldR	3435	3840	124
lldD	7117	7792	375
trmL	786	443	430
cysE	2510	2161	2593
gpsA	3369	2792	1768
secB	3626	4040	925
grxC	585	667	279
yibN	525	608	354
gpmM	4054	2777	1201
envC	1732	898	481
yibQ	1314	664	660
waaH	1229	976	1774
tdh	0	0	0
kbl	978	881	498
htrL	432	522	290
rfaD	2016	2071	893
waaF	830	722	579
waaC	465	305	260
waaL	233	283	158
yibX	0	0	0
yibY	0	0	0
waaU	657	745	168
waaZ	490	546	118
waaY	433	530	86
waaJ	686	711	207
waaO	883	943	243
waaB	1128	1096	254
waaS	792	955	256
waaP	608	568	156
waaG	1202	1065	263
waaQ	1333	1450	316
rirA	46	31	7
waaA	1130	843	219
coaD	515	418	115
mutM	558	392	138
rpmG	523	452	611
rpmB	2352	2309	4982
yicR	677	439	157
dfp	848	603	276
dut	279	259	140
slmA	402	273	169
pyrE	447	214	35
rph	606	375	60
yicC	1407	1256	340
dinD	531	390	85
yicG	451	216	39
ligB	1086	621	142
gmk	1534	1994	1270
rpoZ	1038	1224	635
spoT	1644	1240	1473
trmH	342	198	161
recG	1342	712	520
gltS	802	542	447
xanP	747	375	180
yicH	2038	1484	447
yicI	1284	585	167
yicJ	826	455	78
selC	104	50	13
yicT	78	39	16
setC	474	276	35
yicL	743	475	163
yicU	0	0	0
nlpA	671	682	413
yicS	173	200	43
nepI	915	501	155
yicN	367	219	68
adeQ	513	304	35
adeD	1287	896	126
uhpU	10	2	0
uhpT	563	276	47
uhpC	1101	536	95
uhpB	718	442	198
uhpA	586	840	218
ilvN	710	796	26
ilvB	3316	4041	241
ivbL	274	267	15
istR	133	73	15
tisB	1371	2209	597
ysdE	26	12	2
emrD	635	327	141
yidF	175	154	46
yidG	221	153	64
yidH	291	287	123
yidI	350	207	58
yidJ	718	385	90
yidK	927	470	59
yidL	329	202	42
glvG	413	199	62
glvB	297	145	14
glvC	655	304	53
yidP	503	261	43
yidE	1548	991	194
ibpB	472	525	758
ibpA	760	944	1512
yidQ	1109	1358	514
yidR	1028	606	451
cbrA	530	226	26
dgoT	775	336	40
dgoD	814	457	83
dgoA	380	200	55
dgoK	584	341	116
dgoR	469	284	131
yidX	222	131	89
yidA	709	405	352
yidB	231	197	51
gyrB	2495	2754	3151
recF	607	367	371
dnaN	1210	1124	1377
dnaA	1663	1900	2836
ysdD	263	185	31
rpmH	716	785	790
rnpA	166	93	422
yidD	125	98	107
yidC	1080	1177	1149
mnmE	960	612	375
tnaC	388	177	4
tnaA	11228	4396	35
tnaB	1714	762	39
mdtL	632	312	45
yidZ	540	273	161
yieE	381	315	851
yieF	380	254	745
adeP	836	516	587
yieH	405	194	166
cbrB	162	95	56
cbrC	288	150	47
yieK	488	243	41
yieL	491	230	55
bglH	631	300	33
bglB	595	309	31
bglF	1145	580	215
bglG	236	135	17
phoU	632	552	634
pstB	691	529	704
pstA	703	448	525
pstC	752	437	334
pstS	599	415	424
glmS	6598	6363	8544
glmU	3625	4264	9327
atpC	676	701	502
atpD	1653	2068	1407
atpG	1078	1171	701
atpA	2233	2510	1366
atpH	686	725	286
atpF	934	1060	417
atpE	553	652	225
atpB	829	949	453
atpI	311	279	146
rsmG	255	193	309
mnmG	1329	868	1502
mioC	283	272	835
asnC	153	138	68
asnA	506	308	11465
viaA	802	580	1127
ravA	1131	1219	321
kup	1374	979	312
rbsD	2103	2758	104
rbsA	1881	1563	75
rbsC	1433	1001	69
rbsB	2835	2344	82
rbsZ	96	81	10
rbsK	566	377	193
rbsR	273	128	60
hsrA	524	359	205
yieP	533	452	274
rrsC	1408	1075	537
gltU	27	28	51
rrlC	2979	2390	1347
rrfC	39	27	7
aspT	26	22	1
trpT	24	20	6
hdfR	509	287	242
maoP	155	205	124
yifB	786	363	93
ilvL	149	83	19
ilvX	26	15	3
ilvG	740	529	294
ilvM	68	26	13
ilvE	615	326	222
ilvD	895	522	371
ilvA	701	455	482
ilvY	568	365	151
ilvC	1047	2017	2345
ppiC	178	122	164
yifN	351	231	153
rep	1253	666	449
gpp	1025	667	1576
rhlB	1693	1837	1480
trxA	2542	3195	1674
rhoL	277	252	715
rho	1494	1258	4418
rfe	771	595	494
wzzE	665	491	432
wecB	508	350	324
wecC	558	360	374
rffG	544	308	364
rffH	557	382	318
rffC	253	149	140
wecE	726	677	508
wzxE	585	466	382
wecF	734	492	330
wzyE	865	535	128
rffM	506	438	123
yifK	994	725	128
argX	328	246	32
hisR	85	74	49
leuT	41	46	29
proM	74	32	3
aslB	566	236	58
aslA	699	427	135
glmZ	141	143	63
hemY	1389	1309	328
hemX	1873	2062	433
hemD	1036	844	321
hemC	2236	1759	904
cyaA	8472	7171	12020
cyaY	57	54	296
yzcX	154	99	113
yifL	649	632	354
dapF	1316	1145	749
yigA	539	412	378
xerC	629	435	423
yigB	366	229	250
uvrD	2196	2136	2134
yigE	423	185	146
ysgD	53	28	39
corA	874	545	246
yigF	38	25	16
yigG	26	24	10
rarD	458	330	95
yigI	523	418	223
pldA	374	194	100
recQ	903	545	207
rhtC	15847	17630	13839
rhtB	1074	1146	3729
pldB	704	479	1530
yigL	413	256	749
bioP	338	241	397
metR	261	164	961
metE	1361	797	641
ysgA	1496	2111	565
udp	1711	2535	234
rmuC	794	673	181
ubiE	767	809	428
ubiJ	341	300	226
esrE	0	0	0
ubiB	993	787	376
tatA	553	590	230
tatB	500	375	419
tatC	515	330	288
tatD	454	249	192
rfaH	258	182	159
ubiD	2492	2178	1985
fre	1297	1270	1446
fadA	4162	7617	255
fadB	6380	8875	114
pepQ	1918	1620	806
yigZ	535	321	288
trkH	1254	1043	595
hemG	461	406	251
rrsA	1333	923	477
ileT	40	15	9
alaT	22	14	336
rrlA	3085	2520	1265
rrfA	117	74	14
mobB	265	140	46
mobA	283	196	81
yihD	276	222	228
srkA	799	682	316
dsbA	775	1069	288
yihF	459	240	81
yihG	327	192	66
polA	2240	1906	814
spf	49	23	18
yihA	769	542	227
csrC	735	1625	526
yihI	1148	1175	265
hemN	1495	1201	515
yshB	548	469	1161
glnG	1185	1020	2934
glnL	819	640	1794
glnA	763	583	13204
bipA	1565	1652	2895
yihL	641	453	76
yihM	529	372	46
yihN	336	196	28
ompL	173	133	34
yihO	486	255	48
yihP	694	303	42
yihQ	973	490	95
yihR	361	172	23
yihS	542	269	47
yihT	351	225	37
yihU	367	148	46
yihV	441	254	84
csqR	672	580	129
yihX	683	995	161
yihY	705	646	296
dtd	450	378	175
fabY	975	881	269
yiiE	42	21	12
yiiF	168	110	44
fdhE	1020	1071	493
fdoI	1006	1286	295
fdoH	1610	2352	516
fdoG	8836	11989	3748
fdhD	679	485	289
yiiG	324	207	59
frvR	665	266	49
frvX	557	244	47
frvB	693	336	45
frvA	193	99	14
rhaM	111	61	16
rhaD	414	204	41
rhaA	736	346	58
rhaB	670	277	39
rhaS	434	244	43
rhaR	487	262	43
rhaT	672	362	85
sodA	3154	3059	3283
kdgT	597	507	71
yiiM	480	364	112
cpxA	1066	912	1122
cpxR	584	845	772
cpxP	2775	2361	300
cpxQ	9	5	2
fieF	1037	849	503
pfkA	4450	5527	1671
sbp	617	303	101
cdh	266	138	71
tpiA	2209	1572	913
yiiQ	338	148	63
yiiR	287	174	115
yiiS	697	690	1051
uspD	1356	1282	1440
fpr	1004	713	354
glpX	698	521	163
glpK	1515	1725	227
glpF	729	589	107
zapB	1428	1225	1326
rraA	1221	1411	816
menA	489	617	129
hslU	6286	10634	4638
hslV	2075	3791	1304
ftsN	959	1021	577
cytR	492	306	140
priA	847	480	611
rpmE	5442	6399	2504
yiiX	338	161	503
metJ	326	330	1302
metB	632	339	999
metL	1252	950	3273
metF	396	220	1275
katG	3256	4162	1148
yijE	521	268	159
yijF	429	194	60
gldA	1216	1068	119
fsaB	295	211	32
ptsA	1215	526	84
frwC	524	308	38
frwB	272	135	8
pflD	814	522	145
pflC	425	223	49
frwD	272	144	31
yijO	376	173	91
eptC	686	469	592
ppc	18345	21837	32707
argE	1223	1175	1722
argC	547	730	4710
argB	539	696	3327
argH	818	1418	7849
oxyS	14	18	28
oxyR	1218	765	608
sthA	1828	1132	1169
fabR	1272	1204	323
yijD	1504	1968	331
trmA	2413	2932	643
btuB	1345	1289	302
murI	724	602	673
rrsB	1381	1059	489
gltT	99	100	1049
rrlB	3240	2523	1306
rrfB	161	82	39
murB	451	327	341
birA	497	293	183
coaA	376	317	171
thrU	163	91	46
tyrU	399	297	135
glyT	143	140	27
thrT	148	161	76
tufB	13732	20122	10450
secE	2207	2443	821
nusG	2207	2332	739
rplK	1669	1632	7250
rplA	3496	3583	14559
rplJ	5942	6266	15246
rplL	5751	6678	11298
rpoB	24011	39757	44388
rpoC	23005	39877	50457
yjaZ	257	185	160
sroH	33	23	26
thiH	514	263	123
thiG	348	166	70
thiS	46	34	12
thiF	276	140	65
thiE	237	133	59
thiC	821	367	208
rsd	4784	5360	284
nudC	1043	899	257
hemE	1181	856	361
nfi	607	620	256
yjaG	507	340	278
hupA	1794	948	289
yjaH	258	129	78
zraP	175	93	35
zraS	874	418	54
zraR	694	325	178
purD	675	360	188
purH	805	396	224
rrsE	1414	950	461
gltV	34	26	51
rrlE	3173	2518	1314
rrfE	38	26	3
yjaA	173	112	44
yjaB	258	166	73
metA	424	240	948
aceB	25533	30505	8268
aceA	35110	47816	7779
aceK	6528	10603	1985
aceK-int	0	0	0
arpA	414	248	60
iclR	1067	589	122
metH	3024	2873	1177
yjbB	1698	1409	269
pepE	565	355	84
rluF	522	306	215
yjbD	431	445	693
lysC	938	3771	11270
pgi	3978	3653	3342
yjbE	80	107	73
yjbF	211	85	12
yjbG	259	160	34
yjbH	954	475	155
yjbT	152	53	36
psiE	162	109	368
xylE	802	453	480
malH	69	39	13
malG	456	565	57
malF	756	423	85
malE	650	497	63
malK	673	425	45
lamB	705	471	106
malM	775	1857	168
yjbI	135	101	15
ubiC	1357	1131	206
ubiA	2277	2069	367
plsB	4341	6035	1044
dgkA	247	238	106
lexA	3478	4307	433
dinF	841	726	289
yjbJ	1131	1366	1194
zur	318	214	211
yjbL	27	15	7
yjbM	128	73	17
dusA	413	236	149
pspG	1203	1065	117
pspH	95	78	9
qorA	1641	1569	326
dnaB	664	383	423
alr	775	453	388
tyrB	679	416	503
yjbS	17	7	3
aphA	457	440	58
yjbQ	519	421	698
yjbR	491	476	537
uvrA	3434	6150	5266
ssb	947	1178	750
yjcB	106	94	2133
pdeC	2028	1682	103
soxS	1476	1219	38
soxR	398	272	570
ryjA	97	44	83
ghxP	776	356	422
yjcE	864	457	383
yjcF	80	80	13
actP	10406	22877	89
yjcH	3177	6716	13
acs	55067	119916	162
ytcB	56	32	25
nrfA	622	269	50
nrfB	217	96	18
nrfC	292	129	38
nrfD	637	318	41
nrfE	865	375	51
nrfF	246	102	17
nrfG	222	95	13
gltP	689	376	281
yjcO	684	563	383
fdhF	963	577	306
mdtP	552	272	47
mdtO	870	378	126
mdtN	345	151	61
ytcA	76	30	3
yjcS	858	390	72
alsK	467	279	82
alsE	296	118	31
alsC	371	166	57
alsA	496	242	55
alsB	343	181	30
alsR	520	324	102
rpiB	230	132	43
yjdP	147	109	79
phnP	453	287	115
phnO	345	300	64
phnN	236	158	60
phnM	738	336	106
phnL	385	177	92
phnK	458	232	61
phnJ	364	134	38
phnI	724	391	69
phnH	180	69	34
phnG	247	168	27
phnF	376	182	60
phnE	697	345	61
phnD	532	266	24
phnC	235	141	45
yjdN	1123	820	133
yjdM	607	643	117
rdcA	1483	1176	96
rdcB	566	354	43
proP	1267	1324	5078
pmrR	39	37	75
basS	1037	870	161
basR	784	791	72
eptA	823	525	68
adiC	657	336	123
adiY	183	103	272
adiA	838	483	224
melR	1247	1302	91
melA	2491	5118	128
melB	1264	2280	191
yjdF	282	184	77
fumB	861	514	113
dcuB	727	403	76
dcuR	529	289	133
dcuS	658	395	201
yjdI	363	249	41
yjdJ	586	433	55
ghoS	73	27	41
ghoT	33	33	23
lysU	639	500	1812
dtpC	424	251	350
cadA	703	712	701
cadB	260	201	1101
cadC	0	0	0
yjdQ	0	0	0
pheU	0	0	0
yjdC	0	0	0
dsbD	0	0	1
cutA	0	0	0
dcuA	0	0	0
aspX	85	116	31
aspA	29174	25036	2026
fxsA	3579	5749	2034
yjeH	776	539	551
groS	5546	6115	1112
groL	31893	45801	6817
yjeI	633	1093	388
yjeJ	272	193	178
epmB	567	411	205
efp	1116	753	541
ecnA	65	44	43
ecnB	454	730	254
gdx	270	223	294
blc	1412	1475	195
ampC	610	381	58
frdD	791	1104	133
frdC	665	1153	113
frdB	1121	1815	233
frdA	3587	5674	868
epmA	532	331	228
yjeM	640	415	172
yjeN	165	78	22
yjeO	219	104	31
mscM	1658	957	581
psd	1272	1222	787
rsgA	1103	1116	688
orn	603	385	138
glyV	268	205	490
glyX	71	39	147
glyY	18	16	55
yjeV	8	5	24
queG	1147	1014	785
nnr	3377	3472	702
tsaE	726	878	290
amiB	2116	2438	900
mutL	1995	1739	1260
miaA	5212	6269	4549
hfq	3354	4151	1935
hflX	6052	6699	3417
hflK	5622	6936	3560
hflC	2059	2285	1649
yjeT	66	60	25
purA	1511	1986	9990
nsrR	274	260	285
rnr	3129	3538	3464
rlmB	539	506	496
yjfI	44	24	6
yjfJ	317	146	22
yjfK	213	93	19
yjfL	133	64	13
yjfM	228	147	20
yjfC	377	173	48
aidB	1474	1232	322
yjfN	13065	9857	116
bsmA	15613	13755	125
yjfP	416	338	142
ulaR	478	264	98
ulaG	585	326	61
ulaA	706	417	37
ulaB	221	121	19
ulaC	245	136	28
ulaD	308	203	47
ulaE	424	251	62
ulaF	625	321	40
yjfY	163	127	44
rpsF	890	1119	2127
priB	548	555	1280
rpsR	459	542	805
rplI	874	963	2281
yjfZ	186	96	33
ytfA	146	69	17
ytfB	1520	1386	230
fklB	538	396	141
cycA	2490	3762	662
ytfE	312	147	207
ytfF	643	561	82
qorB	386	264	262
ytfH	258	286	233
cpdB	1527	1118	444
cysQ	4256	4286	682
ytfI	328	326	27
ytfJ	4555	4873	64
ytfK	10228	17959	640
paeA	829	876	407
msrA	1281	1152	212
tamA	1203	874	465
tamB	2270	1691	844
ytfP	375	223	266
chpS	207	184	110
chpB	193	151	134
ppa	2222	2400	779
ytfQ	6904	10723	180
ytfR	3073	5164	124
ytfT	1291	2591	45
yjfF	1144	2031	74
fbp	1164	1239	461
mpl	823	492	617
yjgA	1559	1365	389
tldE	1832	1747	542
cybC	935	768	147
nrdG	245	381	75
nrdD	2168	6588	510
treC	685	336	61
treB	587	286	86
treR	411	257	210
mgtL	30	12	5
mgtA	1392	740	207
ridA	448	401	510
pyrI	232	120	48
pyrB	446	176	91
pyrL	248	171	54
yjgH	473	372	38
bdcA	286	279	84
bdcR	258	169	74
tabA	253	237	103
yjgL	170	134	60
argI	614	472	1662
rraB	1336	2038	853
yjgM	228	152	121
yjgN	178	101	19
valS	3557	4851	3906
holC	664	730	189
pepA	4798	5945	916
ytgB	15	14	4
ytgA	24	17	6
lptF	1244	1472	564
lptG	1451	1332	849
yjgR	1796	1802	190
idnR	414	241	149
idnT	482	254	90
idnO	367	234	24
idnD	428	377	31
idnK	195	108	37
ahr	2329	2253	179
leuX	110	71	9
intB	1197	1300	189
insC6	555	433	195
insD6	1102	697	446
yjgX	728	515	739
yjgZ	177	91	43
insG	693	414	187
nanX	296	274	39
nanY	353	254	39
ythA	15	16	1
yjhD	49	36	12
yjhE	57	31	7
insO	373	225	146
insI3	0	0	0
insM	0	0	0
yjhV	107	68	33
fecE	466	192	113
fecD	425	175	113
fecC	373	158	85
fecB	439	234	199
fecA	999	498	893
fecR	285	143	1109
fecI	234	94	945
ykiE	31	20	16
insA7	92	76	104
insB7	242	115	147
yjhU	877	604	699
yjhF	573	336	117
yjhG	1268	941	309
yjhH	554	340	99
yjhI	384	294	12
sgcR	482	645	99
sgcE	549	935	94
sgcA	447	859	63
ryjB	65	96	2
sgcQ	1897	4759	385
sgcC	2091	5572	135
sgcB	476	1332	23
sgcX	1809	4004	175
yjhY	504	409	390
yjhP	438	192	63
yjhQ	310	185	34
topAI	132	55	37
yjhZ	217	96	57
yjhR	411	224	40
ythB	27	12	8
nanS	325	244	72
nanM	693	528	167
nanC	191	92	13
fimB	196	134	20
fimE	192	122	38
fimA	9	475	4865
fimI	825	184	322
fimC	396	111	105
fimD	1155	477	146
fimF	262	134	30
fimG	241	107	51
fimH	579	349	183
gntP	859	426	78
uxuA	1351	734	138
uxuB	1344	720	211
uxuR	553	402	353
yjiC	97	66	15
ytiC	6	4	0
ytiD	199	532	412
idlP	41	86	70
iraD	507	1071	507
hypT	554	320	542
iadA	517	289	314
yjiG	162	71	49
yjiH	286	138	57
kptA	275	146	129
yjiJ	596	366	245
yjiK	281	166	86
ytiA	117	100	37
yjiL	365	311	85
yjiM	1033	1059	161
yjiN	1385	1229	359
mdtM	614	453	294
ytiE	82	42	45
rpnD	501	280	112
yjiR	647	318	443
yjiS	82	54	15
yjiT	488	313	177
yjiV	1228	783	525
mcrC	162	97	58
mcrB	208	143	96
symE	121	77	27
symR	15	12	1
hsdS	403	289	147
hsdM	795	594	403
hsdR	4633	4950	1019
mrr	478	265	138
yjiA	612	390	186
yjiX	50	48	22
btsT	1049	518	167
tsr	851	374	178
lgoT	1246	816	205
lgoR	540	340	24
lgoD	536	263	47
opgB	1393	1049	142
yjjA	518	318	344
dnaC	756	656	433
dnaT	486	494	361
yjjB	253	116	53
yjjP	308	156	41
yjjQ	186	107	27
bglJ	235	118	352
fhuF	241	289	3100
yjjZ	79	48	508
leuV	13	8	15
leuP	11	23	31
leuQ	43	19	55
rsmC	602	369	687
holD	230	116	202
rimI	447	365	260
yjjG	921	1035	504
prfC	1047	934	741
osmY	4624	3653	3165
ytjA	1302	1201	432
yjjU	498	384	406
yjjV	273	171	230
yjjW	351	192	84
yjjI	1079	1051	198
deoC	2032	2627	414
deoA	2903	3850	805
deoB	7279	10603	13452
deoD	4368	5437	3572
yjjJ	1265	1283	250
lplA	706	485	151
ytjB	408	276	138
serB	567	464	147
radA	928	705	273
nadR	1585	1631	879
ettA	6678	6506	1575
slt	2478	4612	780
trpR	267	326	150
yjjX	305	159	179
ytjC	440	397	266
rob	2972	2877	1348
creA	232	162	75
creB	412	216	52
creC	868	372	145
creD	637	325	83
arcA	21522	26616	2868
yjjY	5675	4722	490
ytjE	297	244	74
yjtD	659	481	541
