Geneid	FimA_del	WT	FimA_over
djlB	989	618	71
ybeT	209	146	17
ybeU	509	358	31
djlC	1422	845	125
hscC	1324	788	113
rihA	1205	951	120
gltL	1564	1326	385
gltK	1267	1107	333
gltJ	1229	1084	438
sroC	202	225	103
gltI	7599	7434	2460
insH3	2259	1918	931
lnt	2315	1674	1034
ybeX	2112	2296	2610
ybeY	1792	1996	1045
ybeZ	3918	4381	2344
miaB	2093	1906	903
ubiF	1779	1687	234
glnX	40	30	3
glnV	66	60	89
metU	57	36	56
glnW	78	63	137
glnU	66	59	297
leuW	72	63	419
metT	208	159	250
asnB	1771	1110	8005
umpH	1248	888	359
nagC	1768	1441	596
nagA	1761	1658	502
nagB	1890	1825	326
nagE	4135	4015	444
glnS	1735	1409	525
chiZ	33	33	5
chiP	1629	968	68
chiQ	235	159	45
fur	4419	3251	1216
uof	431	252	102
fldA	3307	1658	365
ybfE	320	218	53
ybfF	925	596	156
seqA	1327	1333	603
pgm	4169	4147	1682
ybfP	540	305	60
ybfG	398	282	34
ybfI	76	65	3
potE	1451	1019	163
speF	2130	1288	159
speFL	30	24	7
kdpE	785	486	135
kdpD	3975	2735	1186
kdpC	917	736	111
kdpB	2477	1598	358
kdpA	2425	1620	233
kdpF	41	38	7
ybfA	373	461	1067
rhsC	6740	4620	656
ybfB	64	41	10
ybfO	1938	1321	176
ybfC	292	238	59
ybfQ	58	45	20
ybfL	630	353	51
ybfD	505	317	46
ybgA	1127	898	360
phr	2088	1550	645
dtpD	2691	1844	994
ybgI	1382	1195	377
pxpB	1267	1111	338
pxpC	1960	1942	640
pxpA	845	730	527
nei	1247	830	294
abrB	1707	1174	360
ybgO	1095	792	198
ybgP	646	442	118
ybgQ	3550	2605	400
ybgD	652	606	117
gltA	6086	6113	1833
ybgV	24	28	4
ybgU	170	177	20
sdhC	5181	3527	159
sdhD	1357	1161	69
sdhA	8340	7142	635
sdhB	3699	3181	328
sucA	14318	15159	1429
sucB	8290	8747	935
sucC	8635	8118	756
sucD	5580	5430	643
sdhX	93	81	11
mngR	1068	760	245
mngA	3309	2353	347
mngB	3850	2640	1003
cydA	11604	22738	8499
cydB	8892	15787	6534
cydX	365	622	405
ybgE	1827	3041	2119
ybgC	603	585	450
tolQ	1413	1147	705
tolR	496	474	372
tolA	3119	2513	1527
tolB	4858	4564	2381
pal	3343	2891	1771
cpoB	2199	1825	1613
lysT	190	174	425
valT	82	93	155
lysW	106	122	179
valZ	31	29	49
lysY	99	128	78
lysZ	116	109	179
lysQ	188	154	35
nadA	2128	1910	1360
pnuC	1921	1962	766
zitB	2091	2194	1028
ybgS	2100	1939	915
aroG	2760	2611	4559
gpmA	6625	6652	5512
galM	2720	3756	2853
galK	3472	3526	3175
galT	2383	2402	1669
galE	2860	2943	1184
modF	3506	3590	2170
modE	1909	2063	1128
acrZ	729	688	305
modA	1829	1914	782
modB	1618	1630	651
modC	2610	2544	1156
ybhA	1744	1874	936
pgl	4444	5601	1550
ybhD	2638	2932	1318
ybhH	1618	1909	955
ybhI	2883	3029	1150
ybhJ	6275	6261	2948
ybhC	3725	4133	2877
ybhB	1769	1507	288
bioA	3743	2870	338
bioB	3295	2674	237
bioF	2223	1835	275
bioC	1013	761	137
bioD	1391	984	121
uvrB	5882	6570	4941
ybhK	2062	1524	362
moaA	5792	4924	1478
moaB	3188	2666	982
moaC	2083	1842	707
moaD	1184	1058	430
moaE	1878	1583	502
ybhL	3686	4233	1087
ybhM	1121	944	140
ybhN	2221	1605	251
clsB	3015	2343	698
ybhP	1881	1397	476
ybhQ	2019	3650	80
ybhR	2403	1629	167
ybhS	3006	2133	188
ybhF	4383	3195	456
ybhG	2015	1744	194
cecR	1093	925	107
rhlE	2464	1638	455
ybiA	830	544	59
dinG	4214	3168	840
ybiB	2655	2549	485
hcxB	2201	1501	780
zbiJ	94	62	5
ybiE	45	42	13
ybiJ	338	276	308
ybiI	1201	1171	252
ybiX	982	767	134
fiu	4079	2802	345
mcbA	1644	3157	146
rlmF	1633	1060	178
ybiO	4612	3708	528
glnQ	3614	2831	1352
glnP	3048	2629	907
glnH	13610	12673	2033
dps	16902	18625	3637
rhtA	1416	1049	76
yliM	563	574	87
ompX	7941	6498	7629
opgE	1784	1187	230
rybA	261	155	20
mntS	0	0	0
mntR	869	584	196
ybiR	2062	1262	148
ldtB	2122	1611	1022
ybiT	3589	3349	828
ybiU	1694	1051	636
ybiV	580	358	415
ybiW	2950	1798	222
ybiY	1393	793	40
fsaA	937	726	84
moeB	1297	838	249
moeA	2452	1699	508
iaaA	2054	1988	1820
gsiA	3446	2915	1811
gsiB	2555	2161	921
gsiC	1757	1220	241
gsiD	1491	1014	256
pdeI	1504	887	152
dgcI	1683	988	84
rimO	2273	1360	168
bssR	44122	50254	1379
yliI	2020	1449	369
gstB	1907	1481	292
dacC	3959	4797	692
deoR	1066	675	268
ybjG	879	584	120
mdfA	3482	2918	343
ybjH	474	323	70
ybjI	1966	1384	106
ybjJ	2393	1746	86
rcdA	1095	723	31
rybB	242	159	9
ybjL	2223	1734	1240
ybjM	398	258	907
grxA	206	192	1157
ybjC	363	196	48
nfsA	1037	682	209
rimK	1634	1100	208
ybjN	886	743	188
potF	2754	5562	536
potG	1759	1890	252
potH	1356	995	122
potI	1349	1012	156
ybjO	722	453	69
rlmC	1604	1003	477
artJ	963	858	3725
artM	1297	1140	1821
artQ	1705	1568	2021
artI	2819	3145	2616
artP	1970	2088	2000
ybjP	2063	1539	329
ybjQ	892	960	312
amiD	2074	1880	716
ybjS	1878	1311	835
ybjT	1927	1248	718
ltaE	1818	1497	1098
poxB	5417	5674	2838
hcr	1386	772	70
hcp	1995	1117	95
lysO	1429	1057	117
aqpZ	2770	2846	328
ybjD	2847	2195	215
ybjX	939	576	208
macA	1553	1115	264
macB	2726	2286	837
cspD	25254	34476	1388
yljB	159	145	206
clpS	491	532	555
clpA	27014	40808	9646
serW	280	209	39
infA	467	400	2356
aat	1286	981	199
cydC	1998	1284	444
cydD	2758	1612	395
trxB	1121	727	584
lrp	867	882	1668
ftsK	7476	7231	3993
lolA	1018	1030	673
rarA	1833	1492	1002
serS	2241	1832	5963
dmsA	2526	1649	222
dmsB	594	377	53
dmsC	1023	716	102
ycaC	2989	3423	150
ycaD	1495	1039	1059
ycaM	1204	819	158
ycaN	521	348	74
ycaK	335	225	16
pflA	2584	1631	1135
pflB	35567	40352	8260
focA	6419	8078	783
ycaO	1373	917	156
ycaP	1052	960	160
serC	2156	1922	2825
aroA	1347	950	1059
ycaL	580	360	54
cmk	3350	3480	608
rpsA	19235	22027	14785
ihfB	11074	10282	955
ycaI	1982	1316	307
msbA	1757	1411	764
lpxK	1059	611	291
ycaQ	1022	609	167
ycaR	263	210	135
kdsB	743	512	835
ycbJ	1146	933	291
elyC	759	457	135
cmoM	1139	734	396
mukF	1162	858	449
mukE	706	480	266
mukB	4384	3333	2131
ldtD	3336	3063	2127
mepK	2341	4536	1648
gloC	1787	2952	2200
aspC	1779	1338	1258
ompF	1820	1344	180
asnS	2589	2166	3351
pncB	1219	839	1372
pepN	3157	2853	1815
ssuB	797	459	124
ssuC	704	428	19
ssuD	1220	630	57
ssuA	906	574	23
ssuE	468	234	31
elfA	124	75	13
elfD	454	224	24
elfC	2042	1098	138
elfG	1274	762	150
ycbU	290	165	36
ycbV	593	417	56
ycbF	711	477	138
pyrD	463	235	104
zapC	396	367	475
ycbX	1246	972	436
rlmL	2450	1483	869
uup	1977	1479	1423
pqiA	1297	1047	675
pqiB	1583	1315	952
pqiC	769	578	343
rmf	2660	6656	5574
fabA	1670	2328	1998
